primary_genre,Titles,MeanDescriptionLength
Dramas,1600,24.06375
Comedies,1210,24.401652892561984
Action & Adventure,859,24.544819557625146
Documentaries,829,22.65379975874548
International TV Shows,774,23.723514211886304
Children & Family Movies,605,25.05785123966942
Crime TV Shows,399,23.588972431077693
Kids' TV,388,23.734536082474225
Stand-Up Comedy,334,22.832335329341316
Horror Movies,275,24.407272727272726
British TV Shows,253,22.533596837944664
Docuseries,221,22.20361990950226
Anime Series,176,24.4375
International Movies,128,24.3515625
Reality TV,120,23.45
TV Comedies,120,24.041666666666668
Classic Movies,80,24.025
TV Dramas,67,23.776119402985074
Thrillers,65,24.384615384615383
Movies,57,23.333333333333332
TV Action & Adventure,40,24.225
Stand-Up Comedy & Talk Shows,34,21.764705882352942
Romantic TV Shows,32,23.3125
Classic & Cult TV,22,23.181818181818183
Anime Features,21,24.523809523809526
Independent Movies,20,23.65
Music & Musicals,18,23.77777777777778
TV Shows,16,23.3125
Sci-Fi & Fantasy,13,24.846153846153847
Cult Movies,12,24.5
TV Horror,11,22.363636363636363
Romantic Movies,3,26.0
Spanish-Language TV Shows,2,19.5
Sports Movies,1,24.0
TV Sci-Fi & Fantasy,1,23.0
LGBTQ Movies,1,22.0
