Description,Revenue,Quantity,Orders
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995,1
REGENCY CAKESTAND 3 TIER,142592.94999999998,12402,1703
WHITE HANGING HEART T-LIGHT HOLDER,100448.15000000001,36725,1971
JUMBO BAG RED RETROSPOT,85220.78,46181,1600
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916,195
POSTAGE,77803.96,3120,1099
PARTY BUNTING,68844.33,15291,1379
ASSORTED COLOUR BIRD ORNAMENT,56580.34,35362,1375
Manual,53779.93,7173,253
RABBIT NIGHT LIGHT,51346.2,27202,801
CHILLI LIGHTS,46286.51,9650,519
PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83,15617,980
PICNIC BASKET WICKER 60 PIECES,39619.5,61,2
BLACK RECORD COVER FRAME,39064.55,11406,313
JUMBO BAG PINK POLKADOT,37289.590000000004,20165,871
DOORMAT KEEP CALM AND COME IN,35913.85,5342,648
SPOTTY BUNTING,35539.25,7639,1003
WOOD BLACK BOARD ANT WHITE FINISH,34478.01,5921,604
SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8,7020,1146
JAM MAKING SET WITH JARS,32662.97,8151,878
